what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1333219991443
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333219991443
java.specification.version,sysinfo,,,"1.6",1333219991443
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333219991443
java.version,sysinfo,,,"1.6.0_16",1333219991443
java.vm.info,sysinfo,,,"mixed mode",1333219991443
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333219991443
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333219991443
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333219991443
java.vm.specification.version,sysinfo,,,"1.0",1333219991443
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333219991443
java.vm.version,sysinfo,,,"14.2-b01",1333219991443
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333219993720
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333220018312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333220024162
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1333220040542
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333220040714
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1333220040745
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1333220040745
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1333220040823
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1333220040979
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20100512-1900,"org.eclipse.team.svn.revision.graph",1333220041291
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1333220043178
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1333220043194
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1333220043210
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1333220043225
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1333220043241
started,bundle,org.python.pydev.core,2.4.0.2012020116,"org.python.pydev.core",1333220043319
started,bundle,com.python.pydev.analysis,2.4.0.2012020116,"com.python.pydev.analysis",1333220043334
started,bundle,org.python.pydev,2.4.0.2012020116,"org.python.pydev",1333220043334
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1333220043350
started,bundle,org.python.pydev.parser,2.4.0.2012020116,"org.python.pydev.parser",1333220043381
error,log,,,"Python not configured.",1333220043444
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333220043506
error,log,,,"Info: Rebuilding internal caches: E:\\Workspace\\WS_TG\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\TG\\com.python.pydev.analysis\\AdditionalProjectInterpreterInfo.pydevinfo (Expected error to be provided and got no error!)",1333220044161
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333220052726
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333220053163
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333220056251
