what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled: ExtSlice[dims=[Index[value=Name[id=label, ctx=Load, reserved=false]], Index[value=Name[id=fname, ctx=Load, reserved=false]]]]",1333294739747
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.Resume",1333294740111
activated,perspective,org.python.pydev,2.4.0.2012020116,"org.python.pydev.ui.PythonPerspective",1333294741608
error,log,,,"Error checking for valid tokens (imports) for analisador",1333294745385
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333294751821
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294753808
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294756579
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294758267
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1333294838816
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333294844696
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294846196
closed,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294847558
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294989084
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294991807
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1333295122791
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1333295123109
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333295164016
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1333295168196
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333295169141
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1333295170350
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333295181179
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333295202981
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1333295204460
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333295213185
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333295216629
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1333295217820
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333295266156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333295278174
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333295281365
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333295283179
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333295288289
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333295289565
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333296691291
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333296694435
opened,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333296696155
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333296696192
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1333296708002
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333296709968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333296712161
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333296764164
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333296765083
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333297430766
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333297432032
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1333297433584
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1333297433627
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1333297441908
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1333297447305
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333297448843
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333297585810
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333297595018
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1333297595018
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333297596325
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333297598027
